Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
3/7/2018 5:06,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:11,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:15,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:16,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:17,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:20,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:23,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:24,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:27,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:29,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:37,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:39,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:40,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:41,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:43,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:57,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 5:59,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:07,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:09,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:11,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:14,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:16,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:19,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:34,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:36,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:37,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:38,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:39,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:40,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:41,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 6:42,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:12,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:14,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:15,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:15,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:16,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:17,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:18,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:19,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/7/2018 7:20,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:07,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:08,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:10,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:10,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:11,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:12,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:13,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:15,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:15,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:17,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:18,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:18,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:19,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:20,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:23,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:24,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:25,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:26,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:32,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:34,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:35,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
3/17/2018 12:36,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
4/4/2018 10:47,VR2W-125449,A69-1303-4075,,,,,Simested,56.571595,9.380188
4/18/2018 6:41,VR2W-131092,A69-1303-4075,,,,,Sundstrup2,56.608186,9.291788
4/18/2018 6:48,VR2W-131092,A69-1303-4075,,,,,Sundstrup2,56.608186,9.291788
4/20/2018 7:30,VR2W-131092,A69-1303-4075,,,,,Sundstrup2,56.608186,9.291788
4/20/2018 7:31,VR2W-131092,A69-1303-4075,,,,,Sundstrup2,56.608186,9.291788
4/20/2018 7:33,VR2W-131092,A69-1303-4075,,,,,Sundstrup2,56.608186,9.291788
4/24/2018 9:40,VR2W-125886,A69-1303-4075,,,,,Aggersund,57.000027,9.292732
4/24/2018 9:43,VR2W-125886,A69-1303-4075,,,,,Aggersund,57.000027,9.292732
4/24/2018 9:46,VR2W-125886,A69-1303-4075,,,,,Aggersund,57.000027,9.292732
