Tag ID (on TBR),Tag ID (on VR2W),Tagging date,Latitude,Longitude
4075,A69-1303-4075,5/02/2018,56.591811,9.422879
4080,A69-1303-4080,6/02/2018,56.598852,9.424939
4125,A69-1303-4125,20/02/2018,56.683080,9.581902
4128,A69-1303-4128,21/02/2018,56.683669,9.591858
4138,A69-1303-4138,22/02/2018,56.690575,9.513581
