"Receiver","Station.Name","Start","Stop"
"VR2W-125449","Simested",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-131090","Sundstrup1",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-131092","Sundstrup2",2018-02-11 20:27:36,2018-08-31 15:43:47
"408","Hvalpsund",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-125886","Aggersund",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-125447","15 Aalborg1",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-108766","16 Aalborg2",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-125452","Hals1",2018-02-11 20:27:36,2018-08-31 15:43:47
"VR2W-108768","Hals2",2018-02-11 20:27:36,2018-08-31 15:43:47
